,loss,accuracy,val_loss,val_accuracy,learning_rate,optimizer,model_name,epoch
0,2.4599239826202397,0.4865718781948089,2.1740546226501465,0.5635592937469482,0.1,Adam,Adam_0.1.h5,0
1,1.9004777669906616,0.5571353435516357,2.0679032802581787,0.6610169410705566,0.1,Adam,Adam_0.1.h5,1
2,2.0167341232299805,0.5639810562133789,3.6005375385284424,0.4173728823661804,0.1,Adam,Adam_0.1.h5,2
3,1.9968836307525637,0.5813586115837097,2.2955899238586426,0.569915235042572,0.1,Adam,Adam_0.1.h5,3
4,1.7536169290542605,0.6197999119758606,3.59961199760437,0.4597457647323608,0.1,Adam,Adam_0.1.h5,4
5,2.155079126358032,0.6171669363975525,3.7167325019836426,0.4936440587043762,0.1,Adam,Adam_0.1.h5,5
6,1.864714503288269,0.6324381232261658,0.708558201789856,0.7669491767883301,0.1,Adam,Adam_0.1.h5,6
7,1.372959017753601,0.6766719222068787,1.0762367248535156,0.7139830589294434,0.1,Adam,Adam_0.1.h5,7
8,1.5550391674041748,0.6666666865348816,1.0689654350280762,0.7012711763381958,0.1,Adam,Adam_0.1.h5,8
9,1.2903250455856323,0.6856240034103394,0.8882332444190979,0.7288135886192322,0.1,Adam,Adam_0.1.h5,9
10,1.2208291292190552,0.7082675099372864,0.8558666706085205,0.7648305296897888,0.1,Adam,Adam_0.1.h5,10
11,1.3573403358459473,0.6914165616035461,1.1623717546463013,0.7542372941970825,0.1,Adam,Adam_0.1.h5,11
12,1.3235353231430054,0.7061611413955688,1.378848433494568,0.7139830589294434,0.1,Adam,Adam_0.1.h5,12
13,1.5246580839157104,0.6645603179931641,1.3431388139724731,0.6758474707603455,0.1,Adam,Adam_0.1.h5,13
14,1.5324795246124268,0.6566613912582397,0.7651758790016174,0.7627118825912476,0.1,Adam,Adam_0.1.h5,14
15,1.508912444114685,0.6456029415130615,0.9540463089942932,0.7711864113807678,0.1,Adam,Adam_0.1.h5,15
16,1.7175755500793457,0.641916811466217,1.182569980621338,0.7139830589294434,0.1,Adam,Adam_0.1.h5,16
17,1.33388090133667,0.6798315048217773,1.048652172088623,0.6927965879440308,0.1,Adam,Adam_0.1.h5,17
18,1.265231370925903,0.6882569789886475,0.6317740678787231,0.805084764957428,0.1,Adam,Adam_0.1.h5,18
19,1.1850781440734863,0.6729857921600342,0.571365475654602,0.7902542352676392,0.1,Adam,Adam_0.1.h5,19
20,1.0367351770401,0.7103738784790039,1.0807551145553589,0.7288135886192322,0.1,Adam,Adam_0.1.h5,20
21,1.392014980316162,0.6766719222068787,0.9954798221588136,0.7372881174087524,0.1,Adam,Adam_0.1.h5,21
22,1.2797833681106567,0.7019484043121338,0.760361909866333,0.8411017060279846,0.1,Adam,Adam_0.1.h5,22
23,2.1629018783569336,0.6587677597999573,0.952128529548645,0.7817796468734741,0.1,Adam,Adam_0.1.h5,23
24,1.7444522380828855,0.6714060306549072,1.0116827487945557,0.7669491767883301,0.1,Adam,Adam_0.1.h5,24
25,1.43972647190094,0.6761453151702881,1.0610527992248535,0.7457627058029175,0.1,Adam,Adam_0.1.h5,25
26,1.482619047164917,0.6998420357704163,1.2165569067001345,0.7309321761131287,0.1,Adam,Adam_0.1.h5,26
27,1.112259030342102,0.7072142958641052,0.636909544467926,0.7966101765632629,0.1,Adam,Adam_0.1.h5,27
28,0.9349414110183716,0.7293312549591064,0.48064985871315,0.8241525292396545,0.1,Adam,Adam_0.1.h5,28
29,0.9500840902328492,0.7298578023910522,0.6251407265663147,0.7733050584793091,0.1,Adam,Adam_0.1.h5,29
30,1.0796171426773071,0.7056345343589783,0.4765190482139587,0.8516949415206909,0.1,Adam,Adam_0.1.h5,30
31,1.159517526626587,0.7298578023910522,0.8157234787940979,0.7733050584793091,0.1,Adam,Adam_0.1.h5,31
32,0.9765173196792604,0.7446024417877197,0.5163204669952393,0.8368644118309021,0.1,Adam,Adam_0.1.h5,32
33,1.0169495344161987,0.7330173850059509,0.4747504889965057,0.8686440587043762,0.1,Adam,Adam_0.1.h5,33
34,0.7883637547492981,0.7772511839866638,1.0812216997146606,0.7245762944221497,0.1,Adam,Adam_0.1.h5,34
35,1.2386544942855835,0.7288046479225159,1.04504656791687,0.7860169410705566,0.1,Adam,Adam_0.1.h5,35
36,1.274816870689392,0.7219589352607727,0.8686110973358154,0.805084764957428,0.1,Adam,Adam_0.1.h5,36
37,1.18757164478302,0.7446024417877197,3.327371597290039,0.5741525292396545,0.1,Adam,Adam_0.1.h5,37
38,1.1336127519607544,0.7340705394744873,0.7390283346176147,0.819915235042572,0.1,Adam,Adam_0.1.h5,38
39,1.0240060091018677,0.7577672600746155,0.6353920102119446,0.8622881174087524,0.1,Adam,Adam_0.1.h5,39
40,1.2560086250305176,0.7203791737556458,0.9342528581619264,0.7711864113807678,0.1,Adam,Adam_0.1.h5,40
41,1.1465694904327393,0.7340705394744873,0.87070631980896,0.7860169410705566,0.1,Adam,Adam_0.1.h5,41
42,1.302443027496338,0.7361769080162048,1.5488331317901611,0.7139830589294434,0.1,Adam,Adam_0.1.h5,42
43,1.1944338083267212,0.7345971465110779,1.592621922492981,0.7118644118309021,0.1,Adam,Adam_0.1.h5,43
44,1.2498371601104736,0.7151132225990295,0.8072430491447449,0.805084764957428,0.1,Adam,Adam_0.1.h5,44
45,1.7483723163604736,0.6966824531555176,3.7417047023773193,0.5783898234367371,0.1,Adam,Adam_0.1.h5,45
46,2.202249050140381,0.6824644804000854,1.1220067739486694,0.7563559412956238,0.1,Adam,Adam_0.1.h5,46
47,1.6882673501968384,0.7035281658172607,1.019243836402893,0.7966101765632629,0.1,Adam,Adam_0.1.h5,47
48,1.136036396026611,0.7446024417877197,0.6096351742744446,0.8072034120559692,0.1,Adam,Adam_0.1.h5,48
49,1.0195746421813965,0.735650360584259,1.2483434677124023,0.7902542352676392,0.1,Adam,Adam_0.1.h5,49
50,0.9694350957870485,0.7682991027832031,0.7438609004020691,0.819915235042572,0.1,Adam,Adam_0.1.h5,50
51,0.9446617960929872,0.7619799971580505,1.0302060842514038,0.7394067645072937,0.1,Adam,Adam_0.1.h5,51
