,loss,accuracy,val_loss,val_accuracy,learning_rate,optimizer,model_name
5,0.6124527454376221,0.7872564792633057,0.5014901161193848,0.8262711763381958,0.01,RMSprop,RMSprop_0.01.h5
6,0.6249356269836426,0.78251713514328,0.5418000817298889,0.8389830589294434,0.01,RMSprop,RMSprop_0.01.h5
7,0.5981512069702148,0.7935755848884583,0.6434442400932312,0.7711864113807678,0.01,RMSprop,RMSprop_0.01.h5
8,0.589943528175354,0.7888362407684326,0.4602338969707489,0.8474576473236084,0.01,RMSprop,RMSprop_0.01.h5
9,0.6341111660003662,0.7777777910232544,0.4437807500362396,0.8474576473236084,0.01,RMSprop,RMSprop_0.01.h5
10,0.5695451498031616,0.7925223708152771,0.529120922088623,0.7944915294647217,0.01,RMSprop,RMSprop_0.01.h5
11,0.5418811440467834,0.802527666091919,0.3409309983253479,0.8877118825912476,0.01,RMSprop,RMSprop_0.01.h5
12,0.5591673254966736,0.8014744520187378,0.41821300983428955,0.8474576473236084,0.01,RMSprop,RMSprop_0.01.h5
13,0.572246253490448,0.794102132320404,0.41764456033706665,0.8432203531265259,0.01,RMSprop,RMSprop_0.01.h5
14,0.536920428276062,0.8146392703056335,0.38234809041023254,0.8707627058029175,0.01,RMSprop,RMSprop_0.01.h5
15,0.5478408336639404,0.8093733787536621,0.4138263165950775,0.8538135886192322,0.01,RMSprop,RMSprop_0.01.h5
16,0.5893437266349792,0.7983149290084839,0.46748265624046326,0.8411017060279846,0.01,RMSprop,RMSprop_0.01.h5
17,0.6108411550521851,0.7819905281066895,0.3713984191417694,0.8644067645072937,0.01,RMSprop,RMSprop_0.01.h5
18,0.6068317890167236,0.7867298722267151,0.4430151581764221,0.8516949415206909,0.01,RMSprop,RMSprop_0.01.h5
19,0.5934429168701172,0.7756714224815369,0.46957430243492126,0.8283898234367371,0.01,RMSprop,RMSprop_0.01.h5
20,0.6177468299865723,0.7856766581535339,0.5480995178222656,0.7838982939720154,0.01,RMSprop,RMSprop_0.01.h5
21,0.5797104239463806,0.8014744520187378,0.4783918559551239,0.8114407062530518,0.01,RMSprop,RMSprop_0.01.h5
22,0.5951226353645325,0.7856766581535339,0.3855615258216858,0.8622881174087524,0.01,RMSprop,RMSprop_0.01.h5
23,0.5099470615386963,0.8204318284988403,0.36378124356269836,0.8622881174087524,0.01,RMSprop,RMSprop_0.01.h5
24,0.54336017370224,0.8072670102119446,0.44529855251312256,0.8368644118309021,0.01,RMSprop,RMSprop_0.01.h5
25,0.49825549125671387,0.8235913515090942,0.3909846544265747,0.8622881174087524,0.01,RMSprop,RMSprop_0.01.h5
26,0.5510435104370117,0.8114797472953796,0.3117624819278717,0.883474588394165,0.01,RMSprop,RMSprop_0.01.h5
27,0.5035505890846252,0.8225381970405579,0.3337330222129822,0.8983050584793091,0.01,RMSprop,RMSprop_0.01.h5
28,0.5461083054542542,0.8109531402587891,0.5046132802963257,0.8241525292396545,0.01,RMSprop,RMSprop_0.01.h5
29,0.5137740969657898,0.8177988529205322,0.4487152397632599,0.8622881174087524,0.01,RMSprop,RMSprop_0.01.h5
30,0.5127666592597961,0.8372827768325806,0.5037664175033569,0.8305084705352783,0.01,RMSprop,RMSprop_0.01.h5
31,0.49979832768440247,0.8299104571342468,0.30600133538246155,0.9067796468734741,0.01,RMSprop,RMSprop_0.01.h5
32,0.5621379613876343,0.8014744520187378,0.4168297052383423,0.8538135886192322,0.01,RMSprop,RMSprop_0.01.h5
33,0.5247238278388977,0.8167456388473511,0.30361199378967285,0.8792372941970825,0.01,RMSprop,RMSprop_0.01.h5
34,0.5183946490287781,0.8214849829673767,0.4415474534034729,0.8644067645072937,0.01,RMSprop,RMSprop_0.01.h5
35,0.5496622920036316,0.8156924843788147,0.32554250955581665,0.8961864113807678,0.01,RMSprop,RMSprop_0.01.h5
36,0.5171875953674316,0.8241179585456848,0.38952404260635376,0.8686440587043762,0.01,RMSprop,RMSprop_0.01.h5
37,0.5328289270401001,0.814112663269043,0.3307396471500397,0.8792372941970825,0.01,RMSprop,RMSprop_0.01.h5
38,0.5323725342750549,0.8135861158370972,0.3772822618484497,0.8877118825912476,0.01,RMSprop,RMSprop_0.01.h5
39,0.503080427646637,0.8357030153274536,0.38514986634254456,0.8792372941970825,0.01,RMSprop,RMSprop_0.01.h5
40,0.5509805679321289,0.8077935576438904,0.3702593445777893,0.883474588394165,0.01,RMSprop,RMSprop_0.01.h5
41,0.5579958558082581,0.8051605820655823,0.44214168190956116,0.8411017060279846,0.01,RMSprop,RMSprop_0.01.h5
42,0.558654248714447,0.8004212975502014,0.34431007504463196,0.8686440587043762,0.01,RMSprop,RMSprop_0.01.h5
43,0.5816313624382019,0.7962085604667664,0.34382885694503784,0.8813559412956238,0.01,RMSprop,RMSprop_0.01.h5
44,0.5633052587509155,0.806740403175354,0.3244374692440033,0.8877118825912476,0.01,RMSprop,RMSprop_0.01.h5
45,0.5178425312042236,0.8225381970405579,0.44593849778175354,0.8813559412956238,0.01,RMSprop,RMSprop_0.01.h5
46,0.48450198769569397,0.8278040885925293,0.5355231761932373,0.8622881174087524,0.01,RMSprop,RMSprop_0.01.h5
47,0.553086519241333,0.8162190914154053,0.5454386472702026,0.8432203531265259,0.01,RMSprop,RMSprop_0.01.h5
48,0.5651706457138062,0.7983149290084839,0.7528247237205505,0.8241525292396545,0.01,RMSprop,RMSprop_0.01.h5
49,0.5216307640075684,0.8177988529205322,0.7977396845817566,0.8792372941970825,0.01,RMSprop,RMSprop_0.01.h5
50,0.533464789390564,0.8151658773422241,0.6520923972129822,0.8644067645072937,0.01,RMSprop,RMSprop_0.01.h5
51,0.5304202437400818,0.8151658773422241,0.37698882818222046,0.8686440587043762,0.01,RMSprop,RMSprop_0.01.h5
52,0.5288354158401489,0.8151658773422241,0.39468294382095337,0.8559321761131287,0.01,RMSprop,RMSprop_0.01.h5
53,0.4897119700908661,0.8357030153274536,0.5086384415626526,0.8368644118309021,0.01,RMSprop,RMSprop_0.01.h5
